f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
314886,716300,512145,2720.91,13295.2,3.48624,106.827,2463.01,3,109,28,401,9329.37,152.868,152.868,161.429,0.3625,22.5882,0.197802,0.614838,0.204653,0.701708,0.852587,0.860526
362327,701838,568338,2821.17,13772.8,3.1194,107.313,1963.5,3,134,23,518,12308,154.77,154.77,159.739,0.326733,18.9231,0.264151,0.637519,0.204837,0.893651,0.726163,0.961722
296556,592137,419961,2401.6,12134.2,3.36752,104.238,5541.77,5,117,33,401,9396.73,151.257,151.257,164.182,0.5,15.04,0.329545,0.706152,0.19792,0.7744,2.18639,1.48477
286772,529306,437619,2455.29,11490.3,3.48454,106,28352.9,13,97,24,385,8829.73,150.605,150.605,162.333,0.469697,12.75,0.293333,0.6553,0.213684,0.768451,9.59031,3.73077
302617,571769,431257,2472.83,14127,3.61345,104.643,4778.36,4,119,29,403,9228.18,150.481,150.481,164.414,0.4875,15.7917,0.265957,0.70171,0.175043,0.65323,1.87902,1.10698
304009,504654,399098,2327.83,10913.3,3.2766,108.682,3848.45,2,94,33,371,8852.14,154.275,154.275,164.758,0.46875,18.5263,0.27027,0.761739,0.213302,0.811132,1.18995,0.61039
223592,470470,321530,2140.86,8798.57,3.31765,108.274,12076.3,9,85,27,311,7488.69,151.27,151.27,165.185,0.416667,21.2143,0.268657,0.695399,0.243319,0.851126,4.59088,2.71277
407456,747630,577808,2786.23,18578.7,3.47191,106.173,1809.56,1,178,28,549,12714.1,148.169,148.169,162.071,0.412698,14.6857,0.280576,0.705177,0.149969,0.684334,0.790517,0.288026
395239,644122,504627,2620.26,15641.5,3.37255,111.766,2123.72,4,153,28,569,12523.8,137.137,137.137,161.25,0.485437,8.17742,0.342105,0.783229,0.16752,0.800677,0.822107,1.18605
372766,627328,506705,2598.49,15258.4,3.2349,107.231,804.248,3,149,35,528,12451.2,152.087,152.087,166.314,0.419048,15,0.366972,0.735667,0.170299,0.816019,0.321469,0.927386
412076,750696,590085,2864.33,17832.1,3.33333,110.19,2463.01,4,156,29,558,12867.3,150.799,150.799,165.448,0.344828,18.2414,0.238095,0.698333,0.160627,0.721577,0.932424,1.2
496561,785955,607458,2876.2,19073.7,3.54795,109.683,24884.6,8,146,34,361,11131.8,168.089,168.089,167.324,0.431373,59.1667,0.237288,0.81744,0.150794,0.583622,7.31662,2.25483
496061,713456,590510,2862.29,20191.2,3.53261,109.303,9160.88,6,184,40,551,13252.9,156.278,156.278,167.65,0.415385,18,0.251701,0.840055,0.141759,0.656369,3.39798,1.69846
426953,646050,535278,2772.48,18501.2,3.47826,113.915,9160.88,6,161,27,480,11287.5,155.765,155.765,163.667,0.387931,23,0.288,0.797629,0.149854,0.610096,3.45448,1.725
422496,701043,540966,2712.38,17434.9,3.19786,109.633,1520.53,3,187,36,614,14334.1,153.622,153.622,165.333,0.416667,16.5429,0.395522,0.781003,0.155572,0.822152,0.672999,0.938127
440603,743512,604408,2859.01,18262.5,3.28889,109.85,6082.12,4,180,31,635,14855.8,150.373,150.373,163.387,0.44,13.7674,0.304348,0.728983,0.156552,0.813461,2.48474,1.21622
339982,668035,520352,2655.77,15803.3,3.55396,106.459,6082.12,5,139,25,461,10955.8,152.289,152.289,164.92,0.376238,15.4643,0.311321,0.65337,0.168052,0.69326,2.48664,1.40688
303628,676378,538250,2796.41,13701.7,3.47619,102.949,9852.03,8,126,22,458,10798.9,152.063,152.063,160.273,0.448276,16.6154,0.26,0.564103,0.204092,0.788141,4.08841,2.30137
394536,834000,644484,3044.31,16471.5,3.63478,105.525,6361.73,7,115,25,342,9686.15,164.582,164.582,165.24,0.474359,47.8571,0.185567,0.612173,0.184823,0.588053,1.85433,1.92584
310401,718475,511627,2723.25,12523.8,3.36,110.958,4300.84,4,100,27,392,9404.64,153.194,153.194,165.148,0.351351,25.1333,0.176471,0.606695,0.217445,0.750939,1.38557,1.19048
320963,722370,513646,2727.83,14289.6,3.57377,107.889,1963.5,4,122,27,397,9476.04,151.232,151.232,165.556,0.452381,17.0455,0.22,0.624871,0.190895,0.66314,0.746337,1.11927
310401,718475,511627,2723.25,12523.8,3.36,110.958,4300.84,4,100,27,392,9404.64,153.194,153.194,165.148,0.351351,25.1333,0.176471,0.606695,0.217445,0.750939,1.38557,1.19048
363257,700040,567008,2815.09,14940.4,3.36765,107.637,1520.53,4,136,24,512,12181.9,156.611,156.611,162.167,0.402062,25.9474,0.236364,0.640655,0.188421,0.815368,0.569273,1.18777
295521,664216,454700,2515.84,12599.2,3.30357,109.725,5541.77,4,112,27,407,9695.65,149.221,149.221,166,0.417722,13.0345,0.244444,0.649925,0.199683,0.769546,2.10029,1.21081
285665,529230,437022,2454.52,12144.2,3.5,107.371,34636.1,13,96,25,382,8794.06,151.055,151.055,164.8,0.297297,16.3636,0.21519,0.653663,0.202114,0.724134,11.6397,3.71429
308141,569592,429909,2469.35,13738.8,3.53448,103.837,4536.46,6,116,28,298,9038.95,163.648,163.648,163,0.468354,32.1111,0.274725,0.716759,0.179735,0.657912,1.70775,1.69756
310698,505421,399137,2327.4,12998.8,3.54783,108.416,3848.45,1,115,30,371,8852.44,155.925,155.925,163.5,0.575342,25.5,0.277778,0.778424,0.179047,0.681017,1.42445,0.281863
235797,475920,324701,2148.14,9193.5,3.23913,106.646,14102.6,8,92,30,317,7518.87,150.637,150.637,165.067,0.243243,15.6842,0.243243,0.726196,0.233658,0.817847,5.50237,2.4698
403108,645894,505381,2621.53,17311.8,3.36364,108.971,1963.5,3,176,23,571,12483.7,140.522,140.522,160.913,0.419355,10.42,0.333333,0.797631,0.15143,0.721107,0.857277,0.891892
366503,627553,503498,2591.83,15161.5,3.32867,108.474,907.92,2,143,33,523,12412.3,153.937,153.937,164.03,0.401961,19.92,0.349057,0.727912,0.170948,0.818667,0.354247,0.60084
412621,752714,591866,2867.4,17064,3.25974,109.664,2463.01,4,154,30,547,12944,154.494,154.494,165.767,0.33913,20.0385,0.222222,0.697154,0.168038,0.758552,0.919253,1.22709
502274,789836,620362,2915.73,21525.1,3.6213,107.2,32685.1,15,169,32,462,11472.8,157.61,157.61,169.031,0.420168,29.8,0.224638,0.809646,0.135457,0.532994,10.9976,4.14216
491257,713210,590363,2862.78,18757,3.38922,112.168,38707.6,11,167,38,528,13208.1,157.697,157.697,166.421,0.380165,28.3333,0.265152,0.832128,0.152624,0.704169,13.1584,3.24558
424003,651945,536788,2779.36,17952.9,3.51316,110.592,8824.73,8,152,28,487,11311.8,153.398,153.398,160.857,0.407407,18.48,0.256198,0.789889,0.154814,0.63008,3.16356,2.27715
423507,705348,540176,2712.92,18115.8,3.22613,108.285,1661.9,3,199,38,610,14251.3,153.797,153.797,166.974,0.442029,19.3333,0.363014,0.784017,0.149755,0.786676,0.780905,0.929907
440591,743682,603810,2858.07,19360.3,3.33684,111.622,6361.73,6,190,28,639,14822.4,152.141,152.141,161.821,0.376812,19.6129,0.310345,0.729685,0.147626,0.765612,2.74342,1.79811
337724,670390,522166,2659.15,14388.3,3.37984,108.14,5281.02,4,129,23,471,10995.5,150.471,150.471,160.478,0.357895,12.4571,0.264706,0.646774,0.184814,0.764199,2.01718,1.18349
294925,677910,536452,2793.73,12645,3.44068,102.789,9503.32,5,118,25,445,10765.1,153.62,153.62,163.84,0.475,14.8929,0.296703,0.54977,0.220935,0.851328,3.80229,1.4532
397174,829917,643308,3046.45,17442.7,3.55,108.399,706.858,2,120,26,415,9826.6,155.328,155.328,165.115,0.333333,19.75,0.142857,0.617394,0.174655,0.563366,0.213566,0.56338
315562,719200,512234,2725.08,12903.5,3.51402,106.126,1809.56,3,107,27,395,9454.74,153.658,153.658,165.778,0.445946,27.2143,0.188889,0.616049,0.211189,0.732724,0.613581,0.853723
315562,719200,512234,2725.08,12903.5,3.51402,106.126,1809.56,3,107,27,395,9454.74,153.658,153.658,165.778,0.445946,27.2143,0.188889,0.616049,0.211189,0.732724,0.613581,0.853723
370884,699624,568124,2817.6,15720.7,3.36054,106.576,1809.56,3,147,25,519,12238.3,154.441,154.441,165.16,0.373832,22.5909,0.25641,0.652821,0.179229,0.778489,0.717219,0.892713
293733,588142,417684,2397.99,13401.6,3.5873,103.27,5281.02,7,126,28,413,9399.77,150.891,150.891,162.643,0.465116,15.52,0.272727,0.703242,0.178933,0.701391,2.26535,1.95133
282842,530688,438982,2456.15,12784.2,3.6,104.292,8824.73,7,100,25,384,8786.18,151.026,151.026,163.64,0.369863,19.2105,0.219512,0.644312,0.192124,0.68727,3.12002,1.94444
308066,571350,429340,2467.39,14388.9,3.59055,102.195,4536.46,7,127,31,404,9220.46,151.29,151.29,162.742,0.426966,16.5652,0.309278,0.717533,0.171479,0.640805,1.87015,1.94956
309296,506160,399472,2326.69,12756.9,3.40541,109.056,4071.5,1,111,30,364,8812.43,157.28,157.28,165.033,0.405063,35.4,0.233333,0.774262,0.182387,0.690799,1.46118,0.293651
229325,475798,322342,2142.34,9444.4,3.18605,109.053,9852.03,7,86,31,314,7480.11,153.054,153.054,164.516,0.283582,16.4444,0.211268,0.711435,0.226837,0.792015,3.69464,2.19708
398478,744744,577466,2784.84,14618.9,3.21986,107.562,1809.56,3,141,32,468,12518.3,156.509,156.509,168.688,0.41,25,0.368932,0.690045,0.190496,0.856307,0.640305,0.931718
396157,643552,505748,2621.7,15904.1,3.38961,109.068,1809.56,5,154,31,610,12620.7,138.952,138.952,162.903,0.439252,10.2963,0.4,0.783309,0.164844,0.793552,0.703438,1.4751
368366,625895,503774,2591.59,15965.5,3.31126,109.659,706.858,3,151,33,535,12375.6,152.421,152.421,164.515,0.438095,19.5769,0.268908,0.731212,0.162324,0.775147,0.289754,0.906
410763,751916,590426,2866.52,18191.2,3.36646,108.942,2642.08,3,161,29,547,12876.4,155.442,155.442,165.069,0.364407,18.5357,0.248062,0.695706,0.157577,0.707835,1.03557,0.891144
503595,793914,623276,2923.03,21271.3,3.71605,110.266,21642.4,8,162,33,468,11550.4,153.887,153.887,164.545,0.486239,17,0.236641,0.807981,0.137417,0.543006,6.96209,2.15282
493271,715164,590947,2864.73,19244.5,3.49153,108.465,39408.1,10,177,40,542,13144,156.601,156.601,168.025,0.45082,27.5263,0.246479,0.834712,0.14886,0.683004,14.1408,2.86408
422811,653568,537504,2778.84,16202.6,3.45185,110.048,9503.32,6,135,23,481,11301.4,154.233,154.233,161,0.467391,20.8636,0.31068,0.786619,0.171506,0.697503,3.03433,1.7382
419895,701395,541530,2713.75,17450.4,3.2381,109.411,1520.53,3,189,35,638,14281.4,151.473,151.473,167.257,0.453846,18.3333,0.359712,0.775387,0.155512,0.818397,0.68441,0.926471
435840,743682,604643,2857.09,17764.8,3.27473,109.261,6082.12,6,182,31,634,14838.8,151.391,151.391,163.161,0.410853,17.6471,0.338235,0.720821,0.160829,0.835295,2.5398,1.83221
338334,668610,520495,2654.92,14515.2,3.38462,104.389,8171.28,6,130,26,476,11000.7,150.67,150.67,164.5,0.326531,14.8667,0.226415,0.650024,0.182907,0.757876,3.1397,1.77273
300710,679027,540598,2798.76,12415.1,3.44348,104.498,16741.5,8,115,23,449,10712,152.274,152.274,158.913,0.474359,16.96,0.263736,0.556254,0.225432,0.862823,6.40243,2.32323
393220,832500,643276,3046.61,17437.9,3.54839,107.563,615.752,2,124,25,416,9845.41,157.312,157.312,164.52,0.291667,25,0.148148,0.611277,0.174713,0.5646,0.194175,0.563636
320963,722370,513646,2727.83,14289.6,3.57377,107.889,1963.5,4,122,27,397,9476.04,151.232,151.232,165.556,0.452381,17.0455,0.22,0.624871,0.190895,0.66314,0.746337,1.11927
317662,795300,511774,2722.6,13994,3.48276,105.427,2290.22,3,116,28,405,9481.4,150.926,150.926,162.286,0.364706,17.4091,0.195876,0.620708,0.194554,0.677532,0.836314,0.861386
359996,871766,566640,2809.13,15228.6,3.3662,108.488,1963.5,4,142,24,531,12268.3,152.322,152.322,163.75,0.378641,14.1714,0.290909,0.635317,0.184465,0.805613,0.774498,1.18828
299483,634366,454236,2513.59,12626.6,3.41071,109.863,5281.02,6,112,22,400,9639.14,150.993,150.993,157.045,0.365854,16.3913,0.287356,0.659313,0.199072,0.763402,1.97498,1.75916
290662,663784,435970,2453.49,12720.9,3.51402,106.067,3421.19,3,107,23,386,8779.02,147.829,147.829,162.043,0.486111,16.5455,0.244186,0.666701,0.192871,0.690126,1.25943,0.853723
299833,633490,430296,2468.44,12405.7,3.51402,100.532,4778.36,5,107,31,393,9203.88,152.865,152.865,164.355,0.407895,14.72,0.320988,0.696807,0.198977,0.74191,1.70523,1.42287
305695,568347,397492,2325.74,11814,3.35922,102.967,3848.45,3,103,38,372,8840.61,155.382,155.382,167.289,0.391892,27.6154,0.2875,0.769059,0.196863,0.748316,1.29669,0.893064
237455,460161,324859,2150.46,10086.2,3.32609,109.407,13684.8,6,92,31,309,7392.71,150.848,150.848,164.452,0.415385,13.7143,0.210526,0.730948,0.213208,0.732951,5.30206,1.80392
400653,788184,581800,2796.18,16481.6,3.35032,110.486,2642.08,4,157,30,567,12840.7,149.907,149.907,165.2,0.414414,23.6522,0.377193,0.688643,0.169655,0.779098,1.03533,1.19392
397721,761645,504204,2618.52,16993.5,3.44654,109.051,3631.68,7,159,33,461,12299.7,150.03,150.03,164.667,0.432432,13.871,0.325,0.788809,0.154089,0.723785,1.45187,2.03102
372688,747360,503934,2591.02,15335.7,3.2973,110.118,1520.53,2,148,32,455,12311.3,158.76,158.76,168.719,0.396226,27.4375,0.321429,0.739558,0.168954,0.802786,0.603826,0.606557
413332,860046,592005,2865.93,17164.9,3.24183,109.625,2463.01,3,153,28,459,12715.6,160.013,160.013,162,0.353982,27.6875,0.233871,0.69819,0.166965,0.740792,0.911713,0.925403
500442,882871,618406,2912.69,21462.4,3.74843,111.519,38707.6,13,159,32,464,11515,159.114,159.114,168.594,0.514286,28,0.223077,0.809245,0.135712,0.536521,12.2981,3.46812
489090,944520,590558,2865.29,20377.2,3.53933,112.597,38707.6,13,178,38,568,13279.8,153.104,153.104,167.105,0.424,21.72,0.271429,0.828183,0.140612,0.6517,14.0873,3.67302
421841,863850,536724,2779.52,18609.8,3.54967,110.197,9160.88,8,151,27,487,11260.6,155.333,155.333,165.444,0.466019,22.1905,0.279661,0.785955,0.149357,0.605087,3.27918,2.25373
424005,792134,543818,2721.56,18011.5,3.29949,107.744,1385.44,2,197,39,609,14313.9,152.68,152.68,169.667,0.470149,13.8537,0.368056,0.779683,0.151101,0.794713,0.6437,0.606154
437674,1.06E+006,639312,3023.76,18070.2,3.2381,109.564,3631.68,5,189,24,640,15111.2,150.856,150.856,163.833,0.431818,12.913,0.3125,0.6846,0.167334,0.836249,1.56826,1.54412
333006,755080,518933,2651.82,14251.1,3.43077,104.868,5281.02,7,130,24,469,10901.1,151.902,151.902,163.5,0.444444,17.0385,0.287129,0.641713,0.186079,0.764933,2.06162,2.04036
301396,845988,539159,2798.66,13684.8,3.46774,104.094,10207,7,124,22,361,10647,159.13,159.13,160.409,0.47619,20.2353,0.319149,0.559011,0.204509,0.778015,4.19937,2.0186
402665,1.01E+006,644912,3046.01,18188.1,3.6378,108.973,18626.5,12,127,24,451,9968.58,148.931,148.931,163.583,0.380435,17.04,0.165138,0.624371,0.167472,0.548081,5.87478,3.2987
308640,797916,512134,2725.53,11738.4,3.32039,101.301,4071.5,3,103,27,402,9518.66,152.537,152.537,165.444,0.320513,25.8,0.170455,0.602654,0.232189,0.810897,1.35875,0.903509
308640,797916,512134,2725.53,11738.4,3.32039,101.301,4071.5,3,103,27,402,9518.66,152.537,152.537,165.444,0.320513,25.8,0.170455,0.602654,0.232189,0.810897,1.35875,0.903509
362324,870552,566322,2809.5,15484.9,3.41096,107.69,2642.08,6,146,22,523,12179.2,155.66,155.66,157.091,0.403846,20.7917,0.269565,0.639784,0.181435,0.786525,1.06464,1.75904
292064,636042,455646,2515.12,12262.8,3.37615,110.375,5541.77,5,109,24,415,9708.34,148.639,148.639,162.833,0.415584,14.9615,0.267442,0.640989,0.205102,0.791692,2.06822,1.48098
293370,667754,440512,2462.34,12686.5,3.41593,105.143,3848.45,3,113,22,378,8853.63,150.336,150.336,157.409,0.378049,17,0.228261,0.665976,0.194091,0.697876,1.48234,0.878238
299123,629408,429118,2465.82,12923.5,3.4955,104.906,4071.5,4,111,27,387,9229.7,153.491,153.491,166.074,0.48,18.35,0.290698,0.697065,0.190801,0.714178,1.51087,1.14433
302478,563901,396646,2319.42,11809.1,3.27451,108.069,4071.5,1,102,34,370,8842.01,155.808,155.808,167.647,0.307692,27.4615,0.2,0.76259,0.196409,0.748744,1.37297,0.305389
233749,459540,325893,2153.29,9303.71,3.28736,113.452,10207,7,87,29,310,7388.62,150.306,150.306,164.207,0.42623,14.5,0.208333,0.717256,0.231444,0.794159,3.799,2.12937
404112,780690,578177,2786.55,17384.9,3.30539,109.927,2123.72,1,167,31,556,12756.2,150.077,150.077,163.452,0.357724,14.027,0.284615,0.698942,0.160286,0.733752,0.877629,0.302536
403744,765184,505634,2621.13,16427.9,3.28916,106.674,1809.56,4,166,31,638,12651.8,139.254,139.254,163.774,0.45614,11.76,0.267176,0.79849,0.159553,0.770138,0.744003,1.21612
369636,749088,503226,2591.68,15677.1,3.20779,108.929,1134.11,3,154,35,547,12520,148.203,148.203,166.514,0.362832,10.6383,0.262295,0.734534,0.165316,0.798616,0.472502,0.935223
410888,859133,592396,2866.53,18457.5,3.37572,109.316,2827.43,4,173,31,558,12935.4,151.004,151.004,164.71,0.384,14.9429,0.235714,0.693604,0.155304,0.700818,1.19046,1.18493
507836,885610,623458,2923.18,22773.3,3.65517,109.937,24884.6,12,174,32,463,11538.8,158.983,158.983,168.969,0.359375,29.8667,0.183673,0.814549,0.12836,0.506681,8.5262,3.28302
495752,940725,590576,2863.39,20141.3,3.42373,112.413,39408.1,11,177,38,559,13203.9,155.202,155.202,167.368,0.382812,18.9643,0.204082,0.839439,0.142165,0.655563,14.07,3.21287
426165,863938,538384,2778.46,19453.5,3.60241,110.113,9852.03,7,166,27,480,11241.1,157.829,157.829,165.852,0.482143,24.2632,0.24812,0.791563,0.142826,0.577844,3.83757,1.94314
424061,791175,542684,2719.67,16933,3.18681,110.095,1256.64,4,182,40,616,14348.9,153.356,153.356,168.875,0.358209,14.7949,0.368421,0.781413,0.160614,0.847396,0.539329,1.25517
436376,1.05E+006,637327,3015.06,18155.3,3.26316,112.34,3848.45,6,190,27,630,15088.7,152.971,152.971,166.148,0.376812,16.027,0.357143,0.684697,0.166071,0.831088,1.67563,1.83871
337507,754236,518432,2652.24,14730.7,3.51515,105.443,7542.96,5,132,28,467,10963,152.805,152.805,162.607,0.466667,15.6786,0.32,0.651015,0.180049,0.744233,2.95007,1.42241
303021,848946,540700,2801.21,12827.6,3.49123,100.173,6082.12,7,114,26,446,10810.9,151.83,151.83,165.115,0.425,16.84,0.295455,0.560423,0.218374,0.842783,2.28817,2.00503
